N,P,K,temperature,humidity,ph,rainfall,label,label_encoded
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,6
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,5
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,6
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut,2
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,6
40,22,29,27.55821802,99.98187601,5.735364307,174.62564809999995,coconut,2
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize,5
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize,5
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize,5
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,6
133,50,25,25.72180042,81.19666206,7.569454601,99.93100821,cotton,4
113,38,25,22.00085141,79.47270984,7.388265887999999,90.42224164,cotton,4
26,10,33,28.27298134,96.93649473,6.07071786,198.8234862,coconut,2
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,5
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,6
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize,5
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,5
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,6
31,13,33,27.63834933,95.48763389,5.85971872,205.5463111,coconut,2
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,6
108,36,19,22.78249615,77.51235009,7.238566893,64.61444234,cotton,4
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,6
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,6
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,5
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,6
22,16,27,29.1797902,90.27214288,6.006784979,188.9252083,coconut,2
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,6
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,5
133,57,19,23.54234715,75.98203329,7.947011366,84.12536744,cotton,4
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,6
35,30,34,28.2974764,95.41122824,6.141502001,182.4482352,coconut,2
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,6
9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,coconut,2
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize,5
17,29,26,26.14162144,93.28415295,6.071897347,195.4115025,coconut,2
1,8,26,27.5136304,94.18955816,5.562911913,156.6732553,coconut,2
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,6
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,5
7,11,32,29.25902906,95.11294697,5.542169138999999,184.7624496,coconut,2
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,5
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,5
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,6
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,5
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,6
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,5
22,8,33,28.43572863,95.8840407,5.665785202,203.9283708,coconut,2
24,27,34,28.87862994,95.11320315,6.203376525,145.0583117,coconut,2
23,7,34,26.1055118,91.52421214,5.852038202,134.1279669,coconut,2
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton,4
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,6
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,6
18,12,35,26.13958446,96.38580769,6.338720873,131.3387935,coconut,2
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton,4
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,6
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,6
102,37,25,25.31468463,77.91757121,5.907930899,72.82902109,cotton,4
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize,5
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton,4
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,6
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,5
31,13,33,29.69952329,95.21224392,6.342463714,148.30036919999995,coconut,2
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,6
123,50,16,23.04920461,75.53835214,6.498052108,70.65644296,cotton,4
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,6
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,6
20,28,26,26.37978453,91.49882979,5.547594847,167.0470997,coconut,2
34,6,27,25.84726298,90.92669463,5.8607404810000014,147.8888994,coconut,2
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,6
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,5
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,6
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize,5
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,6
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize,5
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize,5
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,5
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,5
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton,4
37,5,34,25.79490531,93.84150618,5.779032666,152.42387119999995,coconut,2
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,6
34,6,30,27.0828252,97.00155491,5.948342571,171.7575545,coconut,2
113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,cotton,4
18,19,29,27.59376845,92.48519606,6.206077742000001,162.8432736,coconut,2
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,6
25,7,35,28.38503882,99.18843684,5.55771171,189.67113490000003,coconut,2
136,36,20,23.09595631,84.86275707,6.925412377000001,71.29581071,cotton,4
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,6
17,29,26,26.14162144,93.28415295,6.071897347,195.4115025,coconut,2
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,6
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,6
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,6
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,6
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,6
139,35,15,25.248679,83.4630147,5.898293044,86.55517751,cotton,4
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,6
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,6
129,43,16,25.5503704,77.85055621,6.73210948,78.58488484,cotton,4
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton,4
26,9,32,25.9490364,94.73860514,6.470465614,144.15711090000005,coconut,2
131,35,18,24.49112609,82.24415809,7.0576933660000005,64.02949379,cotton,4
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,5
0,29,32,28.05912437,98.3670985,5.868255858,171.65163959999995,coconut,2
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,6
17,29,26,26.14162144,93.28415295,6.071897347,195.4115025,coconut,2
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,5
102,37,25,25.31468463,77.91757121,5.907930899,72.82902109,cotton,4
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,6
107,43,18,22.426733,81.53480799,6.745104394,65.54475812,cotton,4
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize,5
87,48,25,18.65396672,61.37879671,6.656730007999999,93.62039175,maize,5
115,48,16,25.54359718,84.09229796,7.175934962,88.94245493,cotton,4
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,6
30,25,31,26.31270635,98.62048026,5.804965067,208.1181381,coconut,2
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,6
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize,5
131,49,22,25.49848236,79.9751579,7.306918817000001,67.05961949,cotton,4
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,6
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,6
28,27,32,28.94099669,93.00109012,5.764615485,191.7723087,coconut,2
108,36,19,22.78249615,77.51235009,7.238566893,64.61444234,cotton,4
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,6
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,5
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,6
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,5
114,40,17,24.32630461,80.13456404,6.363406102000001,69.45072055,cotton,4
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize,5
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,5
108,60,17,22.75805656,76.75768356,6.558902588,97.76600619,cotton,4
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,6
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton,4
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,5
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize,5
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,6
114,40,17,24.32630461,80.13456404,6.363406102000001,69.45072055,cotton,4
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,6
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,5
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,5
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,5
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize,5
132,52,19,24.16402322,76.7433897,6.436691764,61.94626051,cotton,4
126,50,19,24.69457084,81.7358876,6.6287228360000015,78.58494391,cotton,4
126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,cotton,4
30,25,31,26.31270635,98.62048026,5.804965067,208.1181381,coconut,2
30,30,35,25.00872392,95.59224018,6.001936419,165.8092179,coconut,2
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize,5
0,19,31,25.51791333,94.38420565,6.271952832999999,178.7297725,coconut,2
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,6
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,6
25,12,26,28.56973521,95.67906668,6.436314406,134.83703480000003,coconut,2
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,6
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,6
11,6,25,28.69164799,96.65248672,6.081568052000001,178.9635457,coconut,2
114,40,23,25.53676123,81.13668716,6.7539780610000015,95.4262599,cotton,4
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,6
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,5
107,58,15,23.73868041,75.77503808,7.55606399,76.63669195,cotton,4
25,7,35,28.38503882,99.18843684,5.55771171,189.67113490000003,coconut,2
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,5
121,47,16,23.60564038,79.29573149,7.7232401510000015,72.49800885,cotton,4
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,6
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,5
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,6
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,6
9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,coconut,2
8,28,30,25.51618488,94.33465411,6.015672239,135.1272491,coconut,2
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,6
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize,5
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,5
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize,5
20,29,27,25.09897688,92.36099489,6.047044342,157.7592626,coconut,2
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,6
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton,4
32,11,31,29.51611558,92.56492864,6.461225827000001,131.2116167,coconut,2
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,6
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,6
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,6
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize,5
102,37,25,25.31468463,77.91757121,5.907930899,72.82902109,cotton,4
113,38,25,22.00085141,79.47270984,7.388265887999999,90.42224164,cotton,4
2,30,30,26.00175125,94.79998418,6.331051715,209.540094,coconut,2
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,6
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize,5
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,6
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton,4
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,5
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,5
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,6
8,26,26,25.54759871,91.64194826,5.702484758,212.867626,coconut,2
39,29,29,26.50908611,94.48414544,6.143662699,199.8778403,coconut,2
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,5
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton,4
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,6
31,30,29,26.58580443,90.98617591,5.558807063,178.8116076,coconut,2
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize,5
39,29,29,26.50908611,94.48414544,6.143662699,199.8778403,coconut,2
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton,4
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,6
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton,4
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,5
38,24,33,28.28905147,97.00396405,5.973853124,142.9403233,coconut,2
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,5
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,5
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize,5
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,5
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,6
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,5
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,5
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,6
133,50,25,25.72180042,81.19666206,7.569454601,99.93100821,cotton,4
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,5
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,6
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,6
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,6
20,29,27,25.09897688,92.36099489,6.047044342,157.7592626,coconut,2
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,5
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,6
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,6
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,6
108,46,17,24.3017998,84.87668973,6.93221485,65.0247867,cotton,4
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,5
113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,cotton,4
6,13,29,27.31155708,99.96906006,5.832608027999999,201.8258633,coconut,2
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,5
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,6
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton,4
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize,5
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,cotton,4
7,11,32,29.25902906,95.11294697,5.542169138999999,184.7624496,coconut,2
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,6
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,5
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,6
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,5
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize,5
39,29,29,26.50908611,94.48414544,6.143662699,199.8778403,coconut,2
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,5
